Country,2019,2020,2021
Austria,320381,257721,239803
Belgium,550008,431491,383123
Bulgaria,35371,22368,24537
Croatia,62977,36013,44929
Czech Republic,249915,202971,206876
Denmark,225410,198162,185324
Finland,114188,96430,98481
France,2214280,1650118,1659005
Germany,3607258,2917678,2622132
Greece,114226,80977,100916
Hungary,157906,128031,121920
Ireland,117109,88324,104669
Italy,1916949,1381753,1456674
Netherlands,446056,355598,324336
Norway,142381,141412,176276
Poland,555598,428347,446647
Portugal,221799,142414,149740
Romania,161802,126128,120804
Slovakia,101568,76305,75700
Spain,1258251,851210,859476
Sweden,356036,292024,301006
Switzerland,310050,236828,238481
United Kingdom,2311140,1631064,1647181
Russia,1567743,1433956,1483444
Turkey,387256,610109,561853
Ukraine,88437,85450,103262
Canada,496846,318750,320605
Mexico,763793,532433,520112
United States of America,4719710,3401838,3350050
Argentina,333226,232133,241619
Brazil,2262073,1615942,1558467
Chile,260683,194128,304045
Colombia,220564,151730,200914
Ecuador,97572,61746,86740
Peru,115241,81496,111436
Puerto Rico,82605,84033,85486
Australia,799263,676804,753256
China,21472091,20177731,21481537
India,2962115,2433473,3082279
Indonesia,785539,388925,659809
Israel,239671,202455,272646
Japan,4301091,3809981,3675698
Kazakhstan,65882,82993,106304
Kuwait,98454,72648,83460
Malaysia,550182,480965,452663
New Zealand,103610,80433,111299
Pakistan,162689,104387,198921
Philippines,258555,153833,180642
Saudi Arabia,460373,387709,475837
South Korea,1497035,1618333,1468873
Taiwan,379999,408628,382000
Thailand,468638,343494,312200
United Arab Emirates,198520,129901,156780
Uzbekistan,147827,146250,138377
Vietnam,233782,217193,207693
Egypt,127443,167792,215072
Morocco,148354,117046,154284
South Africa,355378,246541,304340
